"Date","Facebook","Twitter","Instagram","Pinterest","YouTube","Other"
2019-12,98.75,0.28,0.5,0.29,0.14,0.03
2020-01,98.13,0.35,1.03,0.3,0.16,0.03
2020-02,98.48,0.31,0.82,0.23,0.11,0.03
2020-03,99.08,0.35,0.35,0.13,0.08,0.01
2020-04,98.9,0.43,0.34,0.19,0.12,0.02
2020-05,98.97,0.47,0.22,0.21,0.11,0.02
2020-06,99.22,0.35,0.16,0.15,0.1,0.02
2020-07,99.32,0.4,0.07,0.11,0.08,0.02
2020-08,99.4,0.34,0.07,0.1,0.08,0.01
2020-09,99.3,0.4,0.06,0.13,0.09,0.02
2020-10,99.14,0.38,0.19,0.16,0.12,0.01
2020-11,99.32,0.34,0.11,0.15,0.07,0.01
2020-12,99.17,0.45,0.11,0.19,0.06,0.01
