"Date","Facebook","Pinterest","Twitter","YouTube","Instagram","Tumblr","LinkedIn","VKontakte","Other"
2019-12,86.02,7.62,3.63,0.99,1.68,0.01,0.02,0.01,0.03
2020-01,88.34,7.88,1.89,0.54,1.31,0.02,0.02,0.01,0
2020-02,88.14,7.16,2.56,0.7,1.4,0,0.01,0.01,0.01
2020-03,94.15,3.4,1.12,0.35,0.96,0.01,0,0,0
2020-04,87.83,6.15,2.9,1.27,1.77,0,0.03,0.03,0.02
2020-05,91.43,5.52,1.3,1.34,0.27,0.03,0.03,0.07,0.01
2020-06,92.11,5.03,1.2,1.2,0.38,0.02,0.03,0.02,0
2020-07,92.76,5.05,0.9,0.87,0.36,0.03,0.02,0.01,0.01
2020-08,93.87,4.02,0.65,0.82,0.57,0.03,0.05,0,0
2020-09,91.15,6.42,1.15,0.92,0.29,0.04,0.03,0.01,0
2020-10,95.49,3.26,0.55,0.45,0.09,0.11,0.04,0.01,0
2020-11,92.67,4.49,1.94,0.55,0.22,0.1,0.02,0,0.01
2020-12,93.27,3.52,2.31,0.61,0.22,0.02,0.04,0.01,0.01
