"Date","Facebook","Pinterest","Twitter","Instagram","YouTube","VKontakte","LinkedIn","Other"
2019-12,88.16,7.07,2.03,1.98,0.69,0.02,0.02,0.02
2020-01,90.3,5.86,1.78,1.41,0.61,0.01,0.02,0.02
2020-02,91.05,5.14,1.66,1.64,0.46,0.01,0.01,0.04
2020-03,95.03,2.88,0.79,0.97,0.32,0,0.01,0
2020-04,91.2,4.63,2.03,1.39,0.72,0,0.02,0.01
2020-05,94.15,3.54,1.17,0.41,0.62,0.09,0.01,0.01
2020-06,92.63,4.81,1.39,0.35,0.59,0.21,0.01,0.02
2020-07,92.34,5.57,0.95,0.44,0.65,0.02,0.02,0
2020-08,93.26,5.4,0.53,0.37,0.39,0.02,0.02,0.01
2020-09,89.79,7.92,1.42,0.16,0.66,0.01,0.04,0.01
2020-10,95.04,3.69,0.84,0.08,0.31,0,0.03,0
2020-11,65.54,25.73,5.81,0.58,2.07,0.05,0.14,0.09
2020-12,84.6,12.39,1.7,0.33,0.83,0.01,0.1,0.04
