"Date","Facebook","Pinterest","Twitter","YouTube","Instagram","VKontakte","LinkedIn","Other"
2019-12,87.89,3.98,2.83,2.57,2.62,0,0.05,0.05
2020-01,89.86,3.84,1.62,1.44,3.24,0,0,0
2020-02,90.22,4.34,1.49,1.06,2.89,0,0,0
2020-03,94.49,2.08,0.64,0.91,1.88,0,0,0
2020-04,92.17,2.01,1.87,1.59,2.36,0,0,0
2020-05,91.34,3.44,1.62,2.98,0.5,0,0.04,0.08
2020-06,89.31,4.23,3.58,2.8,0.08,0,0,0
2020-07,93.09,4.62,0.91,1.29,0.06,0,0.03,0
2020-08,95.7,2.61,0.85,0.32,0.07,0.39,0.05,0.02
2020-09,93.75,3.29,2.01,0.88,0.07,0,0,0
2020-10,95.34,2.68,1.38,0.53,0.07,0,0,0
2020-11,94.22,2.24,3.14,0.4,0,0,0,0
2020-12,95.18,2.81,0.9,1.06,0.05,0,0,0
