"Date","Facebook","Pinterest","Twitter","Instagram","YouTube","LinkedIn","VKontakte","Other"
2019-12,83.17,8.27,3.24,2.87,2.36,0.03,0.05,0
2020-01,85.31,7.76,2.11,3.21,1.57,0.02,0,0.01
2020-02,85.8,7.15,2.46,2.93,1.63,0.03,0,0.01
2020-03,91.97,3.11,1.61,2.4,0.89,0.01,0.01,0.01
2020-04,86.71,5.13,3.34,2.99,1.72,0.01,0.08,0.02
2020-05,90.6,4.42,1.64,1.54,1.68,0.06,0.05,0.02
2020-06,90.55,4.75,2.03,0.89,1.71,0.05,0,0.02
2020-07,91.24,4.43,1.72,0.79,1.71,0.08,0.01,0.01
2020-08,93.35,3.11,0.82,1.45,1.17,0.09,0,0.01
2020-09,92.18,4.39,1.28,0.52,1.48,0.13,0,0.02
2020-10,95.33,2.91,0.69,0.29,0.7,0.06,0,0.01
2020-11,93.76,3.11,1.57,0.5,1,0.03,0.01,0.03
2020-12,93.02,3.1,2.05,0.76,0.98,0.06,0.01,0.02
