"Date","Facebook","Pinterest","Twitter","Instagram","YouTube","LinkedIn","Tumblr"
2019-12,85.41,8.01,3.91,2.31,0.36,0,0
2020-01,75.09,7.43,14.37,2.97,0.12,0,0
2020-02,76.12,8.94,11.71,2.93,0.15,0.15,0
2020-03,77.66,8.98,7.72,5.64,0,0,0
2020-04,72.44,10.71,8.43,6.83,1.37,0,0.23
2020-05,86.11,11.11,2.53,0,0.25,0,0
2020-06,83.13,12.77,1.2,0,2.89,0,0
2020-07,77.89,14.29,1.7,0,6.12,0,0
2020-08,81.19,16.93,1.57,0,0.31,0,0
2020-09,79.44,17.34,2.42,0,0.81,0,0
2020-10,72.69,18.47,6.43,0,2.41,0,0
2020-11,82.63,8.49,4.63,1.16,2.7,0.39,0
2020-12,77.17,18.11,1.97,0.39,1.97,0.39,0
