"Date","Facebook","YouTube","Twitter","Pinterest","Instagram","Tumblr","Other"
2019-12,95.7,0.68,1.39,1.14,1.08,0.01,0.01
2020-01,96.12,0.57,1.25,1.07,0.96,0.01,0.01
2020-02,96.61,0.37,1.14,0.77,1.08,0.01,0.02
2020-03,96.49,0.56,1.36,0.61,0.96,0.01,0.01
2020-04,97.12,0.7,1.13,0.49,0.54,0.01,0.01
2020-05,92.83,4.31,1.16,1.4,0.26,0.03,0.02
2020-06,89.23,6.5,1.96,2.02,0.23,0.04,0.02
2020-07,86.14,9.04,1.88,2.41,0.48,0.03,0.03
2020-08,94.36,1.7,1.56,1.77,0.56,0.02,0.02
2020-09,91.44,2.85,2.35,2.77,0.54,0.03,0.04
2020-10,90.85,3.86,2.55,2.28,0.39,0.03,0.04
2020-11,95.57,2.16,0.91,1,0.31,0.02,0.03
2020-12,96.93,1.26,0.63,0.77,0.39,0.01,0.02
