"Date","Facebook","Pinterest","Twitter","Instagram","YouTube","LinkedIn","Other"
2019-12,54.32,25.06,5.47,10.42,4.55,0.06,0.11
2020-01,56.26,25.42,4.52,9.93,3.72,0.07,0.08
2020-02,58.08,22.36,5.07,10.48,3.78,0.08,0.16
2020-03,95.2,1.49,1.46,1.37,0.46,0.01,0.01
2020-04,92.57,1.58,2.14,2.9,0.79,0.01,0.01
2020-05,95.12,1.42,2.36,0.13,0.86,0.08,0.03
2020-06,94.18,1.68,3.2,0.06,0.77,0.09,0.02
2020-07,94.9,1.65,2.39,0.47,0.53,0.04,0.02
2020-08,95.72,1.23,1.68,0.75,0.48,0.12,0.02
2020-09,96.02,1.46,1.59,0.19,0.69,0.04,0.02
2020-10,96.73,1.02,1.5,0.11,0.58,0.05,0.01
2020-11,96.49,0.8,1.77,0.17,0.75,0.02,0.01
2020-12,96.58,1.01,1.76,0.23,0.38,0.03,0.01
