"Date","Facebook","Pinterest","Twitter","YouTube","Instagram","LinkedIn","VKontakte","Tumblr","Other"
2019-12,74.9,12.31,6.54,3.5,2.56,0.02,0.17,0,0
2020-01,82.7,10.15,3.36,2.04,1.63,0.12,0.02,0,0
2020-02,81.83,8.86,3.09,3.57,2.59,0.07,0,0,0
2020-03,89.02,4.97,2.64,1.76,1.51,0.07,0.01,0.01,0.01
2020-04,82.78,7.09,5.76,2.69,1.43,0.09,0.05,0.09,0.02
2020-05,86.67,5.89,3.98,3.28,0.13,0.01,0,0,0.03
2020-06,85.95,7.51,3.65,2.6,0.06,0.1,0.04,0.04,0.04
2020-07,92.46,4.56,1.47,1.2,0.24,0.01,0.02,0.03,0.01
2020-08,96.51,1.9,0.72,0.51,0.34,0.02,0,0,0
2020-09,91.92,4.97,1.77,1.16,0.07,0.1,0,0,0.01
2020-10,90.54,6.72,0.71,1.87,0.03,0.06,0.01,0.05,0
2020-11,87.9,6.42,3.95,1.4,0.22,0.03,0.02,0.02,0.03
2020-12,84.36,10.16,2.73,2.69,0.03,0.03,0,0,0
