"Date","Facebook","Twitter","Pinterest","YouTube","Instagram","Other"
2019-12,95.76,2.71,0.64,0.61,0.22,0.06
2020-01,97.51,1.55,0.47,0.28,0.17,0.02
2020-02,98.02,1.19,0.3,0.29,0.19,0.02
2020-03,98.91,0.54,0.22,0.2,0.12,0
2020-04,98.58,0.21,0.15,0.33,0.73,0
2020-05,99.52,0.13,0.15,0.15,0.05,0.01
2020-06,99.27,0.28,0.24,0.18,0.02,0.01
2020-07,99.54,0.12,0.21,0.13,0.01,0.01
2020-08,99.38,0.1,0.32,0.18,0.03,0.01
2020-09,99.6,0.09,0.21,0.09,0.01,0.01
2020-10,99.39,0.13,0.24,0.21,0.03,0
2020-11,99.61,0.15,0.14,0.09,0.01,0
2020-12,98.89,0.08,0.84,0.17,0.01,0
