"Date","Facebook","YouTube","Twitter","Pinterest","Instagram","LinkedIn","Other"
2019-12,72,23.15,3.57,0.64,0.6,0,0.04
2020-01,84.61,11.73,2.72,0.41,0.5,0.01,0.02
2020-02,84.57,10.89,3.17,0.61,0.73,0.01,0.02
2020-03,86.04,9.88,2.8,0.5,0.76,0,0.03
2020-04,84.06,11.54,3.42,0.43,0.53,0,0.01
2020-05,86.41,11.14,1.83,0.41,0.18,0.01,0.02
2020-06,87.57,9.83,1.87,0.52,0.18,0.01,0.02
2020-07,90.36,6.52,2.19,0.71,0.15,0.05,0.03
2020-08,91.83,6.07,1.39,0.53,0.16,0.01,0.02
2020-09,93.26,5.01,1.13,0.47,0.12,0.01,0.01
2020-10,91.57,5.29,2.35,0.63,0.14,0.01,0.02
2020-11,91.85,5.6,1.8,0.53,0.18,0.01,0.02
2020-12,62.38,28.25,7.73,1.17,0.46,0.01,0.01
