"Date","Facebook","Twitter","Pinterest","Instagram","news.ycombinator.com","LinkedIn","YouTube"
2019-12,59.09,9.09,9.09,18.18,4.55,0,0
2020-01,60,13.33,0,13.33,6.67,0,6.67
2020-02,20,45,15,10,10,0,0
2020-03,14.29,28.57,0,28.57,0,28.57,0
2020-04,55.56,0,0,44.44,0,0,0
2020-05,42.86,0,28.57,0,28.57,0,0
2020-06,92.31,0,7.69,0,0,0,0
2020-07,72.73,0,18.18,0,9.09,0,0
2020-08,55.56,44.44,0,0,0,0,0
2020-09,71.43,0,14.29,0,14.29,0,0
2020-10,100,0,0,0,0,0,0
2020-11,66.67,0,22.22,0,0,0,11.11
2020-12,25,25,25,0,25,0,0
