,Countrycode,Instagram,Facebook,Twitter,LinkedIn
0,BA,0.11,99.17,0.45,
1,TD,0.03,84.36,2.73,0.03
2,SC,0.81,55.07,5.49,0.1
3,MY,1.22,86.06,2.33,0.05
4,NA,1.43,49.64,11.14,0.23
5,KH,0.67,61.23,5.73,0.44
6,RU,10.87,14.78,14.07,0.18
7,GH,0.94,58.55,21.52,0.12
8,MQ,0.82,66.54,4.54,0.06
9,NI,0.38,68.01,2.65,0.05
10,SK,1.04,77.4,2.96,0.14
11,PS,0.8,82.42,3.79,0.04
12,TL,0.01,98.89,0.08,
13,BI,0.33,84.84,3.75,0.04
14,UZ,4.92,34.37,6.27,0.2
15,LT,2.51,69.05,2.92,0.17
16,DK,1.92,60.79,6.43,0.52
17,HK,2.35,51.66,17.74,0.68
18,CL,4.92,67.06,5.3,0.14
19,NZ,1.47,55.19,15.92,0.31
20,BZ,0.56,64.15,3.29,0.11
21,JE,0.52,74.01,12.49,0.18
22,CD,1.43,89.2,2.31,0.03
23,UA,7.24,64.75,4.6,0.28
24,AN,,,,
25,BR,3.83,61.17,11.86,0.09
26,JM,4.18,47.49,7.21,0.18
27,TW,1.72,75.54,6.12,0.15
28,PH,0.37,81.45,4.86,0.07
29,FM,0.0,64.35,8.83,0.0
30,NR,0.39,77.17,1.97,0.39
31,ER,1.68,76.75,6.58,0.03
32,NU,0.0,0.0,0.0,
33,MM,0.04,96.08,0.65,0.06
34,FJ,2.16,68.09,5.53,0.08
35,AM,3.03,46.77,4.64,0.45
36,IR,38.44,11.17,2.9,0.71
37,AE,1.7,77.2,8.62,0.81
38,ME,1.56,88.63,3.08,0.04
39,PG,0.7,64.03,7.65,2.13
40,CK,0.43,75.22,3.45,0.22
41,GT,1.36,72.58,3.42,0.05
42,LS,0.54,60.96,11.88,0.07
43,VE,1.57,32.07,32.81,0.05
44,KG,6.13,36.78,5.17,0.27
45,CX,,0.0,0.0,0.0
46,GG,0.67,54.3,23.05,0.52
47,TK,0.0,88.89,,
48,WS,0.32,64.07,3.39,0.05
49,BN,3.44,31.42,5.83,0.16
50,MV,0.76,74.35,7.65,0.81
51,PT,2.08,76.11,3.32,0.19
52,SL,0.73,73.24,8.73,0.27
53,ZM,1.19,59.09,15.13,0.09
54,SD,0.32,71.32,7.99,0.62
55,NF,0.0,81.03,0.0,0.0
56,BF,0.22,93.27,2.31,0.04
57,TC,1.7,60.96,13.44,0.25
58,PY,0.39,96.93,0.63,
59,SA,1.37,80.82,10.64,0.41
60,NC,0.24,75.76,4.15,0.12
61,ID,6.44,53.63,5.18,0.04
62,RW,1.5,50.91,30.56,0.28
63,CU,0.36,75.66,2.44,0.04
64,HR,1.25,76.27,11.33,0.08
65,TN,0.25,87.75,4.93,0.15
66,AS,0.53,67.86,8.19,0.0
67,IL,3.07,65.43,8.28,0.34
68,MS,0.0,59.26,11.11,0.0
69,SI,0.56,82.65,6.3,0.04
70,DZ,0.92,49.42,8.76,0.08
71,CN,0.81,4.74,6.57,2.1
72,LV,2.78,65.63,12.97,0.35
73,GQ,2.27,72.19,2.58,0.18
74,SZ,1.54,55.08,12.79,0.15
75,GY,0.93,60.54,2.99,0.18
76,KY,4.09,37.06,22.2,0.67
77,CF,0.08,89.73,4.7,0.04
78,SR,1.21,50.15,3.17,0.26
79,NP,0.67,88.58,2.21,0.45
80,FO,0.21,96.87,0.61,0.02
81,MH,0.0,72.1,13.54,0.0
82,JO,0.43,91.49,1.28,0.16
83,BW,0.89,42.89,8.54,0.22
84,AO,0.72,80.09,2.37,0.15
85,TR,26.41,41.64,5.97,0.14
86,PM,0.0,82.5,1.53,0.0
87,MO,0.77,69.39,11.44,0.83
88,UY,7.18,78.23,3.06,0.04
