Report Attribute,Details
0,Market size value in 2020,USD 89.07 billion
1,Revenue forecast in 2027,USD 285.23 billion
2,Growth Rate,CAGR of 18.1% from 2020 to 2027
3,Base year for estimation,2019
4,Historical data,2016 - 2018
5,Forecast period,2020 - 2027
6,Quantitative units,Revenue in USD million and CAGR from 2020 to 2027
7,Report coverage,"Revenue forecast, company ranking, competitive landscape, growth factors, and trends"
8,Segments covered,"Sector, end-user, type, region"
9,Regional scope,North America; Europe; Asia Pacific; Latin America; MEA
10,Country scope,U.S.; Canada; U.K.; Germany; China; India; Japan
11,Key companies profiled,BYJU’S; VIPKid; iTutorGroup; Udacity
12,Customization scope,"Free report customization (equivalent up to 8 analysts’ working days) with purchase. Addition or alteration to country, regional & segment scope."
13,Pricing and purchase options,Avail customized purchase options to meet your exact research needs. Explore purchase options
