,Title,Abstract
0,Method of Automatic Creation of Curriculum with a Competency-Based Learning Model,"The reality of digital economy changes rapidly and sets flexible, modular and asynchronous structure of the training process, to prepare specialists possessing the necessary professional competence. At the same time, the bachelor’s program must meet the requirements of regulatory documents. Therefore, an educational institution needs an automated development of individual curricula that ensure formation of relevant competence through student’s participation in various forms of educational activities, including electronic courses. This work aims at creation of an information model of the curriculum allowing to automate the process of curriculum development in the framework of the competence-based learning approach. The proposed model is based on competence maps as a part of educational standard describing the disciplines of the curriculum in terms of ensuring the development of professional competences of a future specialist. Using these maps Competences and Disciplines matrices are built. The model curriculum is implemented as a three-dimensional array and curriculum requirements are formalized using the apparatus of Boolean algebra. A method proposes an automated curriculum development by constructing corresponding arrays of Boolean vectors allowing to develop the curriculum that forms the competence of a specialist in line with the requirements of regulatory documents."
1,An Affective Tutoring System for Massive Open Online Courses,"In the last years, the concept of Massive Open Online Course (MOOC) is widely regarded as new, innovative and creative model for free online learning at large-scale participation from the most prestigious universities around the world. On the other hand, the intelligent tutoring systems (ITS) have been developed to support one of the most successful educational forms “individual teaching”. Recent researches demonstrate that emotions can influence human behavior and learning, as a result, a new generation of ITS is born, that is Affective Tutoring System (ATS). However, there is no study showing the importance of using ATS in MOOCs. Therefore, this paper presents a novel approach for developing an affective tutoring system for the MOOCs, which is called ATS-MOOCs. Such system can easily help students to improve their learning performance by recognizing their affective states and then adapting the MOOC content accordingly. A prototype was developed and a case study was presented to demonstrate the feasibility of the proposed approach."
2,E-Learning Readiness of Technology Institutes in Ethiopian Public Universities: From the Teachers’ Perspective,"In this paper, we have presented an empirical study that aimed to investigate e-learning readiness of technology institutes in Ethiopia. Data was gathered from five technology institutes of Ethiopian universities. 400 teachers were sampled using simple random sampling method. An E-learning readiness level of those institutes has been assessed from the teachers’ perspective. In terms of employee readiness, academic institutions have achieved the heist readiness index in general. This indicates that teachers are ready to go ahead for implementing e-learning. Particularly, employee readiness parameters like technical skill, awareness and attitudinal readiness were found to be above the expected level of readiness. Whereas, organizational readiness in general was found bellow the expected level that indicated academic institutions are not ready and needs some work to get ready. Particularly, all organizational readiness parameters like cultural, policy, top management and technological readiness were found to be below the expected level of readiness."
3,Empirical Investigation of Usability Evaluation Methods for Mobile Applications Using Evidence-Based Approach,"Mobile learning or m-learning is novel learning medium, and consequently, there is a lot of research required to design usable m-learning applications. With the advent of new m-learning applications and their indulgence in imparting education, it poses new usability challenges. M-learning has to be investigated from various perspectives for its effectiveness and efficiency. So to have an effective and usable m-learning application, it is quintessential to discover an appropriate set of usability evaluation methods [UEMs] to evaluate the usability of m-learning application. For the aforesaid purpose, an evidence-based study of UEMs is carried out in this paper to compare and then assess different UEMs. To bridge the gaps between research evidence and software development practices and to avoid expensive and ineffective decision making during application development, an evidence-based approach is suggested by [ 1 , 2 ]. Evidence-based study is the process of systematically finding, evaluating, and using contemporary research conclusions as the basis for decision making. An evidence-based study is required before the adoption of UEM/UEMs because sufficient evidences should be gathered as a decision factor before testing an application. This study presents an empirical analysis for selecting effectual UEM(s) for a set of mobile learning applications using evidence-based approach [EBA]."
4,Gamification in Anatomy Education,"Gamification of anatomy education has the potential to enhance learning and involves the inclusion of a reward structure, narrative, sense of progression and competition or cooperation in their learning. Gamification of anatomy has been used in both digital forms, such as web-based simulations, virtual reality and augmented reality, and non-digital forms including board games, card games and gameshow formats. The creation of an educational anatomy game is an iterative process which should involve students from an early stage. Evaluation and pilot testing should inform game design. Inspiration for ideas for gamification can come from the leisure activities common to students or educators. Creating a narrative can be a powerful way of linking the learning tasks which constitute a game together. In other aspects, gamified learning is similar to other forms of learning, and attention should be paid to learning outcomes and pedagogy. Gamification can produce engaging and stimulating tools for learners of anatomy."
5,Learning Through a “Route Planner”: Human-Computer Information Retrieval for Automatic Assessment,"This chapter presents innovative technologies for enhancing web-based strategies available to educators willing to enhance students’ self-paced and self-regulated learning processes for scientific education. Various strategies for clarifying and disseminating shared resources and structured domain models help human experts in planning appropriate educational paths for individual learners: the chapter focuses on methodologies for organizing automatic assessment resources on top of natural language metadata. Learning management systems enable interaction, content integration, and communication via collaboration tools; they are environments where instructors expand formative assessment and web-based teaching strategies in virtual communities of practice. System integrations enable to organize and dispatch digital contents: clustering techniques, formal concept analysis, natural language processing, and knowledge representation models are new means for adaptively providing students with online activities. Theoretical bases from up-to-date studies for augmenting human-computer interaction at community level start from a generic framework for e-learning systems, up to practical implications and potential of related researches."
6,A Connectivist View of a Research Methodology Semantic Wiki,"The use of virtual learning spaces for learning and teaching needs to be underpinned by a pedagogy that provides a basis for the approach used. Connectivism takes a networked view of knowledge; its characteristics and understanding of learning were investigated. Here, the structure and development of a research methodology semantic wiki are described, including how the contents of the wiki allowed for the exploration of the structures of various research methodologies. Positive evaluation of the wiki was obtained from our research students."
7,Curriculum for Digital Culture at ITMO University,"In many scopes of human activities, both personal and professional, new digital tasks are emerging every day. The new educational module “Digital Culture” at ITMO University aims at building digital competencies of university students, both bachelors and masters, that is to teach students the existing approaches and methods of tasks solving, as well as to show them data processing and analysis techniques to implement in the future in their professional fields. Apart from conducting data analysis, the graduates are supposed to know how to interpret the obtained results correctly and how to navigate in the digital space easily. The disciplines of the first two years of study have been already introduced in the educational process of ITMO University both in bachelor’s and master’s degree programmes. This paper presents the curriculum content, the learning method and the results of the first years of the educational module. The disciplines of the module received positive feedback from both students and external experts in the intercollegiate seminars on digital education."
8,For Which Type of Students Does the Inverted Classroom Model Work Out?,"Although the concept of inverted classroom has gained increasing attention in academic teaching, it is still unclear for which type of students inverted classroom models (ICM) really work out. The purpose of our study is to analyse the impact of ICM on the improvement of learning success for different student types. Therefore, our research provides answers to the following research questions: For which type of students does ICM really work out regarding their learning success? Whether and how far do ICM need to be adapted in order to meet the individual needs of heterogeneous student groups? An empirical study with 178 cases was conducted in four courses that have adopted ICM at an University of Applied Science in Germany. Based on five different learning behaviours, three different learning types were identified. Students showing particular learning behaviours need additional, but discriminative support for their learning success. The insights of this paper help to modify the concept of ICM so that it satisfies the needs of different types of learners."
9,Integration of TeSLA in Assessment Activities,"During Large Scale Pilots of the TeSLA system, teachers in six European universities constructed case studies of the use of the TeSLA instruments in assessment activities in authentic courses. A thematic analysis of these case studies identified seven common categories of TeSLA instrument use, which varied according to the design of the assessment activity and the teacher’s purpose in seeking to authenticate student identity and/or check the authorship of assignments. These seven categories are described in detail in this chapter. These descriptions are intended to provide a starting point for teachers new to the use of student authentication and authorship checking instruments to identify appropriate ways to integrate the instruments in assessment activities in their courses. The chapter goes on to identify some of the issues arising from the context of the collected data and implications of the study for the future implementation of TeSLA and similar systems incorporating instruments for student authentication and authorship checking."
